regla,cluster_id,centroid_lat,centroid_lon,n_events,avg_kde_density
r1,3,-22.773782360330387,-69.26553972403279,3,0.0017178286716071774
r1,0,-22.76918221451759,-69.27928699440825,3,0.0017662292117259866
r1,4,-22.77384021545305,-69.27095075099737,6,0.00251007421656477
r1,1,-22.779226523132724,-69.25419870815092,11,0.004787644402718002
r1,5,-22.784688432188045,-69.2561169838902,4,0.0021588337464342627
r1,8,-22.796400051695283,-69.26006482878866,6,0.005317073081980089
r1,6,-22.788213420749404,-69.25638398538615,6,0.003469934645144544
r1,2,-22.802231725221112,-69.24749024648585,16,0.00817645112104316
r1,9,-22.799584993415184,-69.25984826233007,23,0.014780308180389503
r1,10,-22.8017170510505,-69.2593098426722,8,0.013536178751212671
r1,7,-22.803809420200757,-69.25561428707769,30,0.009380205839229291
r4,1,-22.76607481937275,-69.25255305169533,6,0.002675053165820836
r4,7,-22.77933499177865,-69.25194796357118,13,0.011737621576072166
r4,6,-22.77983703614616,-69.25052137689165,9,0.01158749547226193
r4,9,-22.7879365402414,-69.24816627065238,10,0.006015271758907937
r4,8,-22.78187102441121,-69.25183241701214,5,0.007530913342381344
r4,2,-22.771459477254137,-69.25264617750574,16,0.008966335375472066
r4,5,-22.800365119861503,-69.23266813816628,8,0.0038639455228909425
r4,4,-22.8008876815092,-69.24105790055226,29,0.012039720282919289
r4,0,-22.76860251903132,-69.28262629636369,6,0.002677116186165422
r4,11,-22.792091442837098,-69.24665070147802,4,0.00432198239662066
r4,10,-22.789992727974532,-69.24535023774638,10,0.005853191440042454
r4,3,-22.78976500938031,-69.25419100818392,4,0.002369867194319811
r6,1,-22.763229478276628,-69.25693810488625,32,0.0023938689709165394
r6,3,-22.772134568170944,-69.27864111780835,53,0.0014223358917189236
r6,8,-22.77860755385571,-69.25019769584581,75,0.004166183002153775
r6,5,-22.78106938142216,-69.256619800312,29,0.0015664376618515481
r6,9,-22.78386592941305,-69.24996123855027,25,0.002335803229264413
r6,6,-22.79007727755088,-69.24747520223404,40,0.0018973940497615722
r6,10,-22.787032946587114,-69.25610833107125,24,0.0018745461042515333
r6,0,-22.797542251880593,-69.23331705051648,32,0.0020676332741931254
r6,4,-22.7652220822938,-69.28587410766931,30,0.0023527871469127613
r6,2,-22.79208399523344,-69.2602638814804,24,0.002026008374256153
r6,7,-22.79030230775826,-69.2545629247855,30,0.004167294005014941
